order_id,customer_id,amount,status
1,2,198,Cancelled
2,3,322,Delivered
3,4,436,Pending
4,1,159,Pending
5,3,110,Shipped
6,1,471,Delivered
7,4,270,Shipped
8,3,422,Pending
9,4,445,Pending
10,3,422,Pending
11,3,262,Cancelled
12,4,195,Shipped
13,5,165,Delivered
14,3,452,Delivered
15,1,262,Pending
16,4,323,Pending
17,2,498,Pending
18,4,279,Delivered
19,1,182,Delivered
20,1,315,Pending
21,3,137,Delivered
22,2,276,Shipped
23,3,305,Cancelled
24,4,344,Cancelled
25,4,392,Delivered
26,4,482,Delivered
27,4,139,Shipped
28,4,217,Cancelled
29,5,145,Cancelled
30,5,459,Pending
31,2,456,Shipped
32,2,413,Cancelled
33,2,209,Delivered
34,5,251,Delivered
35,2,432,Delivered
36,2,422,Shipped
37,5,231,Cancelled
38,5,363,Cancelled
39,1,115,Cancelled
40,4,328,Shipped
41,5,398,Pending
42,3,217,Shipped
43,5,470,Shipped
44,3,212,Shipped
45,3,202,Cancelled
46,2,201,Shipped
47,3,147,Cancelled
48,4,388,Pending
49,2,113,Shipped
50,3,378,Delivered
51,4,224,Shipped
52,5,175,Delivered
53,1,329,Shipped
54,1,465,Delivered
55,4,134,Cancelled
56,2,376,Shipped
57,1,247,Delivered
58,3,231,Delivered
59,5,368,Pending
60,5,285,Pending
61,2,337,Pending
62,1,474,Pending
63,4,434,Pending
64,2,421,Pending
65,5,325,Cancelled
66,1,390,Shipped
67,3,420,Delivered
68,5,153,Pending
69,4,265,Shipped
70,1,237,Delivered
71,5,258,Shipped
72,4,359,Delivered
73,3,304,Pending
74,4,275,Shipped
75,3,445,Delivered
76,5,440,Delivered
77,1,322,Delivered
78,4,383,Cancelled
79,1,214,Delivered
